# stan_version_major = 2
# stan_version_minor = 17
# stan_version_patch = 1
# model = binomial_model
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 500
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = data/coins.rdump
# init = 2 (Default)
# random
#   seed = 1464244603
# output
#   file = output/fit-450a3128f332c8ab568a17f4b7536550814f6429b3172929dba1eabefde82841/chain-16/output.csv
#   diagnostic_file = diagnostics.csv
#   refresh = 1
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,p_theta,g_theta
-4268.2,1,0.03125,1,1,0,4297.74,0.995174,-7.68685,-165.714
-4268.2,0,14.3855,0,1,1,4268.89,0.995174,1.17484,-165.714
-4268.2,0,2.43117,0,1,1,4268.47,0.995174,0.738765,-165.714
-4268.2,0,0.239791,0,1,1,4269.3,0.995174,1.48201,-165.714
-4260.33,0.927209,0.0186273,2,3,0,4269.47,1.06355,4.27546,-64.9093
-4259.74,1,0.020707,1,1,0,4260.26,1.07376,-1.01224,-50.1366
-4261.13,0.591961,0.0323337,1,1,0,4261.34,1.05262,0.652436,-80.8085
-4261.29,0.985916,0.0153858,1,1,0,4261.42,1.05062,0.514249,-83.722
-4260.14,1,0.0259248,1,1,0,4261.12,1.06666,-1.40159,-60.4124
-4260.18,0.986025,0.0473696,1,3,0,4260.25,1.152,0.366835,60.5838
-4260.18,0.00107964,0.0846747,1,3,1,4260.94,1.152,1.22975,60.5838
-4259.89,0.99873,0.00682565,1,3,0,4260.32,1.14692,-0.927292,53.5246
-4258.91,0.987011,0.0130458,3,7,0,4260.66,1.10118,-1.87125,-10.8399
-4258.9,1,0.0241469,2,3,0,4258.91,1.10174,-0.144515,-10.0386
-4258.9,0.100132,0.0465651,1,1,0,4259.98,1.10174,-1.46663,-10.0386
-4259.87,0.991755,0.00550826,3,15,0,4260.3,1.0713,-0.91995,-53.7009
-4258.9,0.993924,0.0104672,2,7,0,4260.36,1.1023,1.70764,-9.25034
-4258.87,0.997266,0.0199117,1,3,0,4258.93,1.10971,-0.359418,1.27042
-4258.87,0.998179,0.0379914,1,1,0,4258.87,1.11123,-0.0250344,3.423
-4258.87,0.138291,0.0720844,1,1,0,4259.07,1.11123,0.635821,3.423
